Time (s),Entropy
112.0,2.1822
112.07,2.1822
112.14,2.5955
112.2,1.9477
112.27,2.3884
112.65,2.3884
112.72,2.1822
112.79,2.3884
112.86,2.3087
112.93,2.4087
113.02,2.4087
113.08,2.4955
113.16,2.1822
113.22,2.1822
113.28,2.3884
113.65,1.6477
113.72,2.4087
113.82,2.871
113.91,2.3884
113.95,1.9477
114.03,2.1822
114.08,1.9477
114.14,2.3884
114.22,2.1822
114.29,2.1822
114.34,2.3087
114.69,2.4261
114.77,2.6261
114.83,2.22
114.9,2.5955
114.98,2.5261
115.04,2.1822
115.1,2.1822
115.17,2.3884
115.26,2.5955
115.33,2.3884
115.66,2.3884
115.74,2.7905
115.83,2.5261
115.92,2.5955
115.98,2.1822
116.06,2.6905
116.15,2.871
116.23,2.6261
116.32,2.5261
116.68,2.1822
116.79,2.7332
116.88,2.871
116.94,2.1822
117.03,2.5955
117.12,2.4087
117.17,2.0822
117.25,2.0855
117.3,2.0855
117.36,2.0855
117.7,2.6282
117.8,2.7905
117.86,2.5261
117.92,2.171
118.01,2.4087
118.09,2.4464
118.14,2.1822
118.22,2.5261
118.29,2.1822
118.71,2.5955
118.8,2.7905
118.87,2.5261
118.93,2.0855
118.97,1.9477
119.05,2.3884
119.11,2.1822
119.19,2.3884
119.24,1.9477
119.36,2.8955
119.66,2.1332
119.73,2.5261
119.8,2.1822
119.85,2.171
119.92,2.1822
119.98,2.1822
120.04,2.0822
120.12,2.6261
120.2,2.5261
120.25,1.706
120.31,2.1822
120.7,2.5955
120.76,2.1822
120.84,2.5527
120.93,2.5955
121.0,1.9438
121.05,2.0822
121.12,2.5261
121.2,2.32
121.27,2.4087
121.71,2.5955
121.79,2.1822
121.83,1.9477
121.91,2.7332
121.99,2.5261
122.07,2.5261
122.15,2.5955
122.24,2.7332
122.31,2.4087
122.65,1.8395
122.73,2.5261
122.8,2.4087
122.91,2.5955
122.96,2.0822
123.04,2.4087
123.1,2.0855
123.15,1.9477
123.23,2.1822
123.28,1.706
123.35,2.1822
123.41,1.9438
123.68,2.2261
123.74,2.3087
123.79,1.9477
123.9,2.7905
123.95,2.3087
124.05,2.5955
124.13,2.5955
124.2,1.9477
124.28,2.5955
124.37,2.5955
124.65,2.5639
124.7,2.1822
124.77,2.1822
124.82,1.9477
124.9,2.7332
124.98,2.0855
125.06,2.5955
125.13,2.4087
125.19,2.0855
125.26,2.3087
125.31,1.9477
125.67,2.0884
125.77,2.7905
125.84,2.5261
125.93,2.4087
125.98,2.0822
126.06,2.5261
126.11,1.9438
126.18,2.3884
126.24,1.9477
126.3,2.1822
126.6,2.6905
126.62,-0.0
126.64,1.1884
126.65,1.4367
126.68,1.6438
126.7,1.8129
126.7,0.9928
126.71,1.361
126.73,1.2192
126.74,1.469
126.75,1.461
126.78,1.8129
126.81,1.461
126.83,1.6784
126.83,1.4367
126.85,1.2192
126.87,1.461
126.87,1.1884
126.9,1.4367
126.91,1.6955
126.92,1.461
126.95,1.461
126.96,1.6784
126.97,1.2192
126.99,1.4367
127.0,1.2345
127.01,1.1884
127.02,1.3955
127.03,1.2192
127.04,1.461
127.05,1.6784
127.06,1.4367
127.06,1.3955
127.07,0.8113
127.08,1.1884
127.09,1.5955
127.11,1.2345
127.13,1.461
127.15,1.6438
127.17,1.6955
127.18,1.6784
127.19,1.469
127.2,1.469
127.21,1.1412
127.21,1.2955
127.23,1.461
127.25,1.4367
127.27,1.6784
127.29,1.6438
127.32,1.461
127.34,1.469
127.36,1.461
127.37,1.5905
127.39,1.461
127.41,1.9129
127.42,1.4367
127.43,1.4367
127.43,1.1412
127.44,1.2345
127.45,1.2192
127.47,1.1412
127.48,1.0763
127.5,1.469
127.52,1.461
127.52,1.2345
127.53,1.469
127.54,0.9928
127.57,0.9341
127.58,1.0
127.6,0.9928
127.61,0.971
127.62,0.9928
127.63,1.0
127.66,1.2345
127.67,1.2345
127.7,1.2345
127.72,1.154
127.74,1.154
127.74,1.3362
127.77,1.2568
127.78,1.3362
127.79,0.7476
127.81,1.0763
127.82,1.1884
127.82,1.419
127.85,0.9341
127.86,1.3362
127.88,0.971
127.89,1.3955
127.9,1.4367
127.92,1.4367
127.93,1.2345
127.96,1.154
127.99,1.2345
128.0,1.461
128.01,1.5784
128.01,1.1412
128.03,0.569
128.03,1.0763
128.04,1.5905
128.05,0.8476
128.05,1.2192
128.08,1.2362
128.1,1.2345
128.11,0.8842
128.14,1.461
128.14,1.1412
128.15,1.4367
128.16,1.4367
128.17,1.0763
128.17,0.9918
128.19,1.3362
128.19,1.1219
128.2,0.9918
128.21,1.469
128.21,1.4367
128.23,0.971
128.24,1.4367
128.26,1.3362
128.27,1.4367
128.27,1.469
128.29,0.8842
128.3,0.9918
128.31,1.2192
128.33,1.461
128.34,1.469
128.34,1.1412
128.35,1.6955
128.36,1.419
128.36,0.8842
128.38,1.461
128.41,1.469
128.41,1.1412
128.43,1.0763
128.46,0.9918
128.47,1.2192
128.49,1.469
128.52,0.7219
128.52,0.8476
128.54,1.771
128.55,1.461
128.56,1.2192
128.56,1.6438
128.58,1.1884
128.59,1.461
128.59,0.9928
128.62,0.7219
128.63,0.6098
128.64,0.6098
128.65,0.9928
128.66,1.2192
128.68,0.971
128.71,1.1412
128.71,1.3955
128.71,0.7219
128.72,1.461
128.73,0.569
128.74,1.3362
128.75,1.5166
128.76,0.971
128.77,1.469
128.79,0.9918
128.79,1.2345
128.82,0.9918
128.83,1.1884
128.83,1.1884
128.85,1.1884
128.85,0.8113
128.87,0.2864
128.88,1.2192
128.89,1.154
128.9,1.1412
128.9,1.1884
128.91,0.7219
128.92,0.569
128.92,1.2192
128.93,1.4367
128.93,0.7219
128.94,1.419
128.95,0.9341
128.95,0.971
128.96,1.2192
128.96,0.9341
128.96,1.2568
128.97,1.3362
128.98,0.9928
128.99,0.8113
128.99,0.569
129.0,1.3362
129.0,1.3362
129.02,0.9341
129.03,0.7219
129.03,0.469
129.04,1.6438
129.05,0.7476
129.07,0.6098
129.08,1.1884
129.09,0.6098
129.11,1.0763
129.11,1.1884
129.12,0.7219
129.12,1.461
129.13,1.1884
129.13,0.9928
129.14,1.6784
129.14,1.2345
129.15,1.1412
129.16,1.461
129.17,1.419
129.17,1.3955
129.18,0.7219
129.19,0.9918
129.2,1.2345
129.22,1.3362
129.23,1.461
129.25,1.6784
129.26,1.469
129.28,1.4367
129.29,1.6955
129.29,0.9928
129.3,1.469
129.33,1.0763
129.33,1.461
129.34,1.3955
129.36,1.4367
129.37,1.7166
129.39,1.1219
129.43,1.419
129.5,2.5261
129.58,0.8113
129.6,0.9341
129.63,1.0
129.64,0.9341
129.65,1.361
129.66,1.1412
129.68,1.2362
129.69,1.4367
129.72,1.461
129.74,1.4367
129.75,1.4367
129.78,1.6784
129.81,1.461
129.83,1.2345
129.84,1.6784
129.86,1.6438
129.87,1.461
129.88,1.461
129.9,1.2192
129.91,1.6784
129.93,1.2192
129.94,1.4367
129.95,1.6784
129.96,1.2192
129.98,1.2192
130.0,1.6955
130.01,1.0
130.03,1.461
130.04,1.461
130.05,1.1884
130.06,1.3362
130.07,1.2345
130.08,1.2345
130.09,1.1412
130.09,1.461
130.1,1.154
130.11,1.3362
130.12,1.4367
130.13,1.1884
130.14,1.6955
130.17,1.461
130.19,1.5166
130.21,1.4367
130.24,1.8388
130.27,1.2345
130.28,1.5166
130.3,1.469
130.31,1.5905
130.34,1.469
130.35,1.461
130.36,1.4367
130.37,1.6955
130.38,1.1884
130.39,1.469
130.39,1.4367
130.41,1.1412
130.42,1.469
130.42,0.9918
130.44,1.1884
130.45,1.6955
130.46,1.3955
130.47,1.461
130.48,1.6784
130.51,1.6955
130.54,1.2192
130.56,1.3955
130.58,1.6784
130.62,1.4367
130.63,1.1412
130.67,1.0763
130.68,1.4367
130.69,1.1884
130.69,1.1884
130.7,0.971
130.71,1.2192
130.71,1.1884
130.71,1.461
130.73,1.1884
130.74,1.3362
130.75,0.9928
130.76,1.2345
130.77,0.9918
130.79,1.2345
130.79,1.4367
130.8,0.971
130.81,1.2192
130.83,1.461
130.84,1.461
130.86,0.971
130.87,1.2192
130.88,1.461
130.89,0.9341
130.9,1.8855
130.92,1.1412
130.93,1.2345
130.94,1.6784
130.95,1.461
130.96,1.0763
130.98,1.469
131.0,1.6955
131.01,1.2345
131.01,1.6955
131.02,1.1884
131.02,1.461
131.03,1.1412
131.04,1.0219
131.05,1.0763
131.05,0.9918
131.07,0.8813
131.09,1.2955
131.12,1.6438
131.13,1.6784
131.16,1.469
131.17,1.2192
131.18,1.469
131.18,1.6955
131.19,1.2345
131.2,0.9918
131.21,1.0763
131.25,1.5955
131.27,1.3955
131.29,1.6438
131.3,1.2568
131.33,1.4367
131.35,1.2192
131.35,1.2345
131.37,1.4367
131.38,1.3362
131.4,1.0763
131.42,1.8388
131.43,1.4367
131.45,1.469
131.46,1.6784
131.47,1.2192
131.48,1.6784
131.49,1.1884
131.5,1.5905
131.51,1.4367
131.51,1.1884
131.52,1.2192
131.54,0.9341
131.55,1.0
131.56,0.9928
131.58,0.971
131.6,0.8813
131.61,0.8813
131.63,0.971
131.64,0.8113
131.66,0.8113
131.67,1.1412
131.68,1.0763
131.71,1.2192
131.72,1.154
131.73,1.1884
131.73,1.0219
131.74,0.8813
131.75,0.9928
131.75,1.2192
131.75,1.4367
131.76,0.971
131.77,1.1412
131.78,1.1412
131.8,1.1884
131.84,1.1412
131.85,1.1884
131.86,1.461
131.89,0.8842
131.9,1.419
131.91,1.4367
131.92,1.1884
131.93,0.971
131.93,1.1412
131.95,0.971
131.95,1.7166
131.96,1.1412
131.97,1.6955
131.98,0.9918
132.0,1.0763
132.0,1.469
132.01,1.6955
132.01,1.1412
132.02,1.1884
132.03,1.2345
132.03,1.3955
132.04,1.4367
132.04,0.8842
132.05,1.6784
132.05,1.3955
132.05,1.0763
132.08,1.6438
132.09,0.2864
132.11,1.1884
132.13,0.8813
132.14,1.6955
132.14,1.1412
132.16,1.8388
132.18,1.2345
132.19,1.6784
132.2,1.2345
132.22,1.1412
132.24,1.6784
132.25,1.469
132.27,1.2192
132.29,1.8388
132.32,1.2192
132.34,1.6784
132.36,1.8388
132.36,1.0
132.37,0.971
132.37,1.8855
132.38,1.1884
132.39,1.0763
132.4,1.461
132.42,1.6784
132.43,0.7219
132.43,1.5166
132.45,1.1884
132.46,1.461
132.48,1.0763
132.5,1.1412
132.51,1.2192
132.53,0.8813
132.55,1.2192
132.55,1.0
132.56,0.9928
132.56,0.9341
132.57,0.9928
132.59,0.971
132.6,1.0
132.61,0.971
