Time (s),Entropy
127.62,1.6544
127.67,1.5124
127.74,1.5948
127.78,1.5602
127.83,1.4369
127.9,1.5518
127.96,1.5254
128.0,1.2516
128.05,1.5507
128.09,1.5685
128.15,1.5058
128.2,1.6162
128.26,1.4357
128.3,1.5518
128.35,1.6421
128.42,1.5599
128.46,1.5885
128.49,1.0599
128.52,0.9994
128.56,0.9787
128.62,1.1375
128.68,1.2468
128.74,1.3275
128.79,1.3275
128.86,1.3421
128.9,1.3987
128.93,1.1848
128.97,1.6131
128.99,1.5162
129.03,1.4076
129.06,1.6171
129.1,1.0026
129.14,1.5554
129.17,1.2361
129.19,1.6449
129.23,1.4297
129.27,1.6781
129.32,1.3659
129.38,1.5235
129.4,1.5060
129.45,1.3706
129.49,1.3575
129.52,1.1872
129.56,0.9976
129.59,0.9947
129.64,1.1817
129.69,1.3505
129.73,1.2811
129.76,1.5793
129.78,1.4579
129.82,1.1053
129.86,1.2811
129.9,1.7099
129.94,1.4193
130.0,1.4045
130.03,1.6449
130.06,1.2961
130.12,1.6869
130.15,1.5001
130.19,1.0821
130.25,1.6055
130.27,1.6017
130.34,1.3976
130.41,1.7448
130.44,1.4293
130.51,1.2653
130.59,1.0936
130.67,1.6017
130.71,1.6102
130.74,1.6388
130.78,1.1674
130.84,1.7418
130.89,1.2454
130.95,1.4452
131.02,1.6937
131.08,1.4357
131.13,1.5001
131.16,1.4774
131.22,1.5293
131.25,1.5846
131.3,1.3622
131.33,1.3938
131.38,1.5921
131.42,1.3389
131.47,0.9994
131.53,0.7496
131.57,0.9275
131.6,0.9518
131.64,1.1775
131.7,1.3725
131.76,1.4464
131.77,1.4272
131.79,1.2802
131.84,1.3640
131.9,1.3465
131.93,1.2961
131.95,1.6131
131.98,1.7262
132.01,1.5260
132.04,1.2784
132.09,1.6210
132.12,1.5846
132.15,1.0024
132.21,1.5137
132.26,1.5452
132.3,1.3956
132.35,1.5399
132.4,1.6388
132.45,1.5727
132.54,1.3575
132.61,1.3959
132.65,1.4591
132.69,1.4101
132.76,1.6475
132.8,1.5491
132.85,1.5491
132.89,1.6638
132.93,1.2354
132.99,1.5166
133.03,1.5399
133.1,1.5190
133.15,1.7167
133.19,1.3675
133.24,1.6028
133.29,1.5625
133.35,1.3631
133.4,1.6787
133.43,1.3708
133.49,1.3899
133.52,1.6155
133.59,1.3446
133.65,1.4591
133.69,1.4764
133.73,1.4876
133.79,1.2479
133.81,1.5235
133.85,1.4178
133.9,1.4242
133.92,1.4242
133.95,1.4011
134.0,1.3659
134.03,1.4715
134.06,1.2989
134.11,1.4242
134.15,1.5762
134.2,1.5887
134.24,1.5098
134.29,1.6204
134.34,1.3389
134.39,1.6679
134.43,1.4893
134.51,1.4214
134.57,0.8435
134.62,1.0132
134.66,1.2454
134.69,1.3465
134.71,1.3725
134.74,1.4655
134.8,1.3725
134.87,1.3575
134.9,1.3725
134.93,1.4007
134.96,1.2182
134.99,1.4178
135.04,1.6079
135.07,1.4387
135.1,1.0310
135.12,1.3505
135.17,1.5040
135.21,1.4293
135.26,1.5417
135.3,1.5260
135.33,1.5345
135.37,1.4528
135.39,1.5733
135.44,1.2454
135.46,1.0683
135.52,1.0000
135.57,0.9994
135.61,1.2442
135.65,1.4380
135.7,1.2996
135.77,1.3899
135.83,1.6102
135.86,1.5846
135.9,1.3265
135.97,1.7032
136.02,1.6601
136.1,1.6781
136.14,1.6131
136.19,1.6131
136.24,1.6197
136.27,1.4369
136.32,1.6674
136.34,1.3659
136.37,1.1687
136.46,1.7734
136.51,1.5911
136.54,1.4556
136.59,0.7755
136.71,1.4117
136.77,1.2122
136.82,1.0924
136.89,1.0816
136.94,0.9906
137.0,1.0816
137.04,1.0971
137.1,1.0864
137.13,1.5709
137.17,1.3708
137.25,1.4607
137.31,1.6580
137.36,1.4369
137.4,1.4904
137.46,1.5846
137.53,1.3725
137.59,1.4369
137.67,1.6781
137.71,1.4579
137.75,1.4478
137.78,1.2616
137.8,1.2765
137.82,1.2789
137.84,1.1466
137.89,1.1053
137.94,1.5267
138.01,1.6707
138.05,1.5001
138.11,1.3289
138.16,1.6210
138.22,1.6079
138.26,1.5572
138.29,1.4904
138.33,1.2811
138.36,1.3504
138.41,1.4331
138.46,1.5333
138.52,1.5885
138.56,1.5911
138.59,1.3659
138.64,1.6135
138.68,1.3659
138.74,1.5602
138.8,1.5948
138.87,1.2765
138.91,1.6389
138.97,1.5933
139.03,1.4369
139.08,1.7711
139.14,1.3956
139.18,1.5793
139.24,1.5417
139.27,1.5235
139.3,1.4774
139.34,1.4352
139.37,1.3042
139.41,1.6315
139.46,1.6197
139.5,1.4607
139.55,1.5048
139.63,1.0268
139.67,1.1532
139.7,1.3675
139.72,1.2728
139.78,1.3421
139.85,1.3423
139.88,1.4272
139.89,1.3945
139.94,1.1866
139.99,1.5260
140.04,1.1532
140.07,1.6529
140.11,1.4764
140.14,1.5267
140.18,1.5560
140.24,1.4876
140.25,1.6171
140.29,1.3328
140.34,1.6079
140.39,1.5345
140.43,1.6815
140.48,1.4579
140.51,1.3289
140.57,1.5001
140.63,1.3731
140.67,1.3421
140.71,1.2616
140.75,1.1817
140.78,1.2728
140.81,1.7120
140.85,1.1649
